Node 1,Node 2,R (% on 100 MVA),X (% on 100 MVA),B (% on 100 MVA),Rating (MVA)
FAUG2R,FAUG11,0.2629,7.7038,-0.0247,240.0
FAUG41,FAUG12,0.106,4.0403,-0.0815,480.0
FAUG41,FAUG11,0.2149,8.0138,-0.0749,240.0
FETT21,FETT1-,0.217,4.2737,-0.0329,240.0
FIDD1Q,FIDD3-,0.4568,26.2294,-0.0404,90.0
FIDD1R,FIDD11,0.1042,3.8919,0.0,150.0
FIDD1R,FIDD3-,0.4564,26.0849,-0.0406,90.0
FRAS1Q,FRAS3-,0.7452,26.9008,-0.0467,45.0
FWIL1R,FWIL3-,0.3693,26.3141,-0.0264,120.0
FYRI2J,FYRI11,0.0971,3.8738,-0.0474,480.0
GORW2-,GORW3-,0.2579,20.0567,-0.0395,120.0
GREM1J,GREM3-,0.5828,24.9932,0.0,90.0
GRIF1S,GRIF3J,0.2479,16.2981,-0.0105,120.0
GRUB1R,GRUB3-,0.4364,24.9962,-0.0505,90.0
INGA1Q,INGA5-,1.1691,25.006,-0.0053,30.0
INNE1L,INNE3-,0.8959,27.8523,-0.108,60.0
KEIT11,KEIT32,0.3504,25.2753,-0.0601,90.0
KEIT2Q,KEIT11,0.2735,8.6123,-0.029,240.0
KILO1-,KILO3-,0.8801,27.7861,-0.0117,45.0
KINT11,KINT3-,0.4561,26.1071,-0.0405,90.0
KINT11,KINT3-,1.0391,27.6305,-0.0002,60.0
KINT2B,KINT11,0.6786,12.1477,-0.0003,120.0
KINT4B,KINT21,0.0266,1.6248,-0.1115,1200.0
LAIR1Q,LAIR3-,0.4521,24.6736,-0.0491,90.0
LIMK1-,LIMK3-,0.2426,17.9984,0.0,120.0
LOCB21,LOCB11,0.2181,8.1262,-0.025,240.0
LOCH1-,LOCH5J,0.9531,38.8216,-0.012,36.0
LUIC1Q,LUIC5A,0.7632,37.5478,-0.0059,45.0
LUNA1R,LUNA3-,0.2621,24.6736,-0.0263,120.0
LYND1Q,LYND3-,0.7797,24.2875,-0.0118,60.0
LYND1R,LYND3-,0.7796,24.721,-0.0118,60.0
MELG41,MELG11,0.1061,3.9569,-0.0772,480.0
MILC1T,MILC3-,0.7798,24.8211,-0.0118,60.0
MILC1V,MILC3-,0.8796,28.1196,-0.1392,60.0
MOSS1Q,MOSS5A,1.1913,36.8474,-0.0049,30.0
MOSS1R,MOSS5B,1.2135,36.9134,-0.0056,30.0
MYBS1T,MYBS31,0.3837,24.9804,-0.002,120.0
NAIR1Q,NAIR3-,1.0542,28.5806,-0.0135,60.0
NAIR1R,NAIR3-,1.0488,28.5808,-0.0148,60.0
NANT1-,NANT5-,1.4756,56.6475,-0.1494,30.0
ORRI1R,ORRI3-,0.5634,16.8239,-0.0122,60.0
PEHE21,PEHE11,0.3422,8.8892,-0.2099,240.0
PEHE2A,PEHE21,0.026,1.533,-0.0005,1200.0
PEHG1Q,PEHG3-,1.05,28.4028,-0.0117,45.0
PEHG1R,PEHG3-,1.05,28.4028,-0.0117,45.0
PERS11,PERS3-,0.4492,25.9961,-0.0149,90.0
PERS11,PERS3-,0.4411,25.9296,-0.0151,90.0
PORA1Q,PORA3-,1.8024,29.8122,-0.0503,30.0
PORA1R,PORA3-,1.8024,29.8122,-0.0503,30.0
REDM1R,REDM3-,0.8997,27.8188,-0.0157,60.0
ROTI41,ROTI3K,0.2106,24.5158,-0.0382,120.0
SFEE1R,SFEE5-,1.3287,76.6552,-0.0001,36.0
SHIN11,SHIN3-,0.4614,26.2182,-0.0183,90.0
SLOY1L,SLOY5L,0.791,23.0664,-0.0157,50.0
STRB2-,STRB3-,0.2098,19.8739,-0.0215,120.0
STRI1Q,STRI3-,0.5028,24.4393,-0.0019,90.0
STRL1-,STRL3B,0.2009,17.7405,-0.0003,120.0
TEAL21,TEAL11,0.3619,10.1602,-0.0384,180.0
TEAL21,TEAL11,0.2564,11.7305,-0.0424,180.0
TEAL21,TEAL11,0.5506,11.8761,-0.0004,180.0
THUS11,THUS3-,0.2621,24.6736,-0.0263,120.0
TOMT2J,TOMT11,0.098,3.905,-0.0541,480.0
VIKE1P,VIKE3P,0.3704,11.1049,-0.0003,135.0
VIKE1R,VIKE3R,0.3704,11.1049,-0.0003,135.0
WIOW1R,WIOW3-,0.8795,24.4842,-0.0118,60.0
WOHI1R,WOHI3-,0.6099,27.3043,-0.0494,90.0
