Site Code,Site Name,Voltage (kV)
INNE,INVERNESS,33.0
KINA,KINARDOCHY,275.0
KINA,KINARDOCHY,400.0
KINB,KINCARDINE BOUNDARY,400.0
KINM,KINMUCK,400.0
KINT,KINTORE,132.0
KION,KILMORACK NORTH,11.0
LAIS,LAIRG SOUTH,33.0
LEWI,LEWIS SUBSTATION,132.0
LOCB,LOCH BUIDHE,132.0
LOCH,LOCHAY,132.0
LOCL,LOCH LUNDIE,132.0
LOCL,LOCH LUNDIE,400.0
LUIC,LUICHART,11.0
LUMB,LUMBS,132.0
LUNA,LUNANHEAD,132.0
LYND,LYNDHURST,132.0
MELG,MELGARVE SUBSTATION,400.0
MILC,MILTON OF CRAIGIE,33.0
MILW,MILLENIUM WIND,33.0
MORF,MORAY EAST ONSHORE,400.0
MOSS,MOSSFORD,132.0
MOTA,MOULTAIVE,132.0
NAIR,NAIRN,132.0
NASS,NEW ABERDEENSHIRE SUBSTATION,400.0
NPIC,SPIORAD NA MARA OFFSHORE WIND FARM,400.0
OWPL,OWPL WINDFARM,400.0
PERS,PERSLEY,132.0
REDM,REDMOSS,132.0
REDM,REDMOSS,33.0
REJO,RED JOHN PSH STORAGE,275.0
SCRA,SCARABEN OFFSHORE WIND FARM,132.0
SFEG,ST FERGUS GAS TERMINAL,132.0
SFEV,ST FERGUS VSD,132.0
SFIL,ST FILLANS,132.0
SLCK,SLICKLY WIND FARM,132.0
SLOY,SLOY,132.0
SPIT,SPITTAL,132.0
STMR,STROMAR OFFSHORE WIND FARM,400.0
STOR,STORNOWAY,33.0
STWO,STRATHY WOOD,33.0
SYEL,SOUTH YELL,132.0
TARL,TARLAND,132.0
TARL,TARLAND,33.0
TUMM,TUMMEL,275.0
TUMM,TUMMEL,400.0
WFIB,WESTFIELD BOUNDARY,400.0
WHIB,WHITE BRIDGE,132.0
WIOW,WILLOWDALE,33.0
ABBA,ABERDEEN BAY WINDFARM,132.0
AIGN,AIGAS NORTH,11.0
ALYT,ALYTH,275.0
AMUL,AMULREE,132.0
ARBR,ARBROATH,132.0
ARMA,ARMADALE,132.0
BEAT,BEATRICE ONSHORE,400.0
BEIN,BEINNEUN WIND FARM,33.0
BING,BINGALLY,400.0
BLGH,BLARGHOUR,132.0
BLHI,BLACKHILLOCK,400.0
BONB,BONNYBRIDGE BORDER NODE,400.0
BOWD,BOWDUN OFFSHORE,400.0
BREC,BRECHIN,132.0
BRID,BRIDGE OF DUN,33.0
BUCH,Buchan,400.0
BUMU,BURGHMUIR,132.0
CAAI,CARNAIG,400.0
CADU,CAIRN DUHIE,275.0
CAID,CAIRN DUHIE WIND FARM,33.0
CAIN,CAIRNFORD,275.0
CAIN,CAIRNFORD,400.0
CEAN,CEANNACROC,11.0
CHAR,CHARLESTON,132.0
CHAR,CHARLESTON,33.0
CLAY,CLAYHILLS,132.0
CLOI,CLOICHE WIND FARM,33.0
COGL,COIRE GLAS PUMPED STORAGE,400.0
CORI,CORRIEMOILLIE,132.0
CORI,CORRIEMOILLIE,33.0
COUA,COUPAR ANGUS,132.0
COUA,COUPAR ANGUS,33.0
CRAI,CRAIGIEBUCKLER,132.0
CRAS,CRARAE SOUTH,33.0
CRDH,CREAG DHUBH,275.0
CREA,CREAG RIABHACH WINDFARM,132.0
CRMU,CRAIG MURRAIL,33.0
CULL,CULLIGRAN,132.0
DAAS,DALLAS SUBSTATION,33.0
DEAN,DEANIE,132.0
DEAN,DEANIE,11.0
DELL,DELL,132.0
DOUN,DOUNREAY,275.0
DUBE,DUNBEATH,33.0
DUGR,DUNVEGAN GRID,33.0
DUNM,DUNMAGLASS,33.0
DUNO,DUNOON,132.0
DYCE,DYCE,33.0
EDAY,EDAY,132.0
EDIN,EDINBANE 132/33KV,11.0
ELCH,ELCHIES,33.0
ERED,EREDINE,275.0
ERED,EREDINE,33.0
FAAR,FARR WINDFARM,132.0
FAAR,FARR WINDFARM,33.0
FASQ,FASQUE,132.0
FASQ,FASQUE,33.0
FETT,FETTERESSO,275.0
FETT,FETTERESSO,33.0
FINL,FINLARIG,132.0
FINS,ORKNEY FINSTOWN,275.0
FNLN,FANELLAN,400.0
FRAS,FRASERBURGH,33.0
FWIL,FORT WILLIAM,132.0
GILB,GILLS BAY SUBSTATION,132.0
GLDO,GLENDOE SUBSTATION,11.0
GLEN,GLENMORISTON,132.0
GLKO,GLEN KYLLACHY,132.0
GLNU,GLEN ULLINISH WINDFARM,33.0
GLRB,GLENROTHES BOUNDARY,400.0
GORW,GORDONBUSH WINDFARM,275.0
GREM,GREMISTA,33.0
GRIF,GRIFFIN WINDFARM (SSE),132.0
GRNV,GREEN VOLT OFFSHORE WIND FARM,400.0
HARI,HARRIS,132.0
HARI,HARRIS,33.0
HOME,HOLLANDMEY,33.0
INGA,INVERGARRY,132.0
INGA,INVERGARRY,11.0
INRU,INVERUGIE,132.0
INVE,INVERARAY,132.0
KEIT,KEITH,275.0
KERG,KERGORD,132.0
KIIN,KILLIN,132.0
KILO,KINLOCHLEVEN,132.0
KINT,KINTORE,275.0
KINT,KINTORE,400.0
KIOR,KILMORACK,132.0
KIOR,KILMORACK,11.0
KNOC,KNOCKNAGAEL,275.0
LAIR,LAIRG,132.0
LAIS,LAIRG SOUTH,132.0
LHEU,LOCH NAN EUN PSH,275.0
LIMK,LIMEKILNS WINDFARM,132.0
LOSD,LONGSIDE,400.0
LYND,LYNDHURST,33.0
MACD,MACDUFF,132.0
MARA,MARRAM OFFSHORE,400.0
MELG,MELGARVE SUBSTATION,132.0
MELG,MELGARVE SUBSTATION,11.0
MILC,MILTON OF CRAIGIE,132.0
MILW,MILLENIUM WIND,132.0
MUAI,MUAITHEBHEAL WIND FARM,132.0
MUMR,MUIR MHOR OFFSHORE WIND FARM,400.0
MYBS,MYBSTER,132.0
MYBS,MYBSTER,33.0
NAIR,NAIRN,33.0
NANT,NANT (LOCH NANT),132.0
NANT,NANT (LOCH NANT),11.0
NASS,NEW ABERDEENSHIRE SUBSTATION,275.0
NEDE,NEW DEER,400.0
ORRI,ORRIN,132.0
ORRI,ORRIN,33.0
PEHE,PETERHEAD,132.0
PEHE,PETERHEAD,400.0
PEHG,PETERHEAD GRANGE,132.0
PEHG,PETERHEAD GRANGE,33.0
PEHS,PETERHEAD SHELL,11.0
PORA,PORT ANN,132.0
